v1,v2
ham,"Let's grab coffee sometime next week, I'm free after 3:30pm"
ham,Just wanted to check if you got home safe
ham,"Thanks for the birthday wishes, means a lot to me"
ham,Don't forget to pick up milk on your way home
spam,You have been selected to receive a FREE iPhone 15! Reply YES to claim your gift now
ham,"Thanks for the birthday wishes, means a lot to me"
spam,YOUR PAYPAL ACCOUNT HAS UNUSUAL ACTIVITY. VERIFY NOW AT WWW.CLAIM-PRIZE.COM OR IT WILL BE LOCKED
ham,Can you review my code before I push it to production?
spam,"New message waiting! Someone has a crush on you, find out who at secure-verify-account.com now !!!"
ham,Happy anniversary! Wishing you both many more happy years
ham,Your package was delivered to the front desk this morning
spam,Congratulations! Your mobile number has won £5000 in the UK National Lottery. Call 09061234567 now !!!
ham,Let me know if you need anything else from me for the report
spam,LIMITED OFFER: Get 90% discount on designer handbag today only! Click www.unlock-account.co before it expires
spam,Make $100 a day trading crypto with our secret system! Sign up free at www.claim-prize.com
spam,Your Netflix account is on hold. Update your payment info now at http://free-cash-now.info to keep watching
spam,FINAL NOTICE: YOUR CAR WARRANTY IS ABOUT TO EXPIRE. CALL 90210 NOW TO RENEW AND SAVE
ham,Can you call me back when you get a chance?
spam,URGENT! Your account has been suspended. Verify your details immediately at www.claim-prize.com to avoid closure
spam,You've qualified for a government grant of $5000. Claim it now by calling 08000112233
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Your package was delivered to the front desk this morning
ham,Happy anniversary! Wishing you both many more happy years
ham,"Thanks for your help earlier, really appreciate it"
ham,"Just checking in, how did the interview go?"
spam,WINNER!! As a valued network customer you have been selected to receive a $5000 prize reward !!!
spam,You have been selected to receive a FREE smart watch! Reply YES to claim your gift now !!!
ham,Happy anniversary! Wishing you both many more happy years
spam,You have been selected to receive a FREE gift card! Reply YES to claim your gift now !!!
ham,Can you call me back when you get a chance?
spam,You have 1 new voicemail regarding your loan approval of $1000. Call 90210 immediately
ham,Reminder: Your dentist appointment is on Tuesday at 5pm
spam,"Click here to activate your FREE smart watch subscription, offer valid for 07781234567 hours only"
ham,Just wanted to check if you got home safe
spam,Your Amazon order could not be delivered. Confirm your address at www.winbig-now.net to reschedule !!!
spam,YOUR PACKAGE IS ON HOLD DUE TO UNPAID CUSTOMS FEE OF $2500. PAY NOW AT WWW.WINBIG-NOW.NET
ham,Happy birthday! Hope you have a wonderful day
ham,"Thanks for the birthday wishes, means a lot to me"
ham,"See you at the gym later, same time as usual?"
ham,"Let's grab coffee sometime next week, I'm free after 3:30pm"
ham,I updated the spreadsheet with the latest numbers
ham,"I'll pick up the kids from school today, no need to worry"
spam,You've qualified for a government grant of $10000. Claim it now by calling 09061234567 !!!
ham,Can you review my code before I push it to production?
ham,"The flight got delayed by an hour, landing around 10am"
spam,"Dear customer, your bank account needs verification. Click www.winbig-now.net or your card will be blocked"
ham,Reminder: Your dentist appointment is on Wednesday at 10am
ham,The meeting has been rescheduled to 9am on Tuesday
spam,Congratulations! You have WON a iPhone 15 worth $100. Claim now by clicking secure-verify-account.com !!!
ham,Happy birthday! Hope you have a wonderful day
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 90210 to claim
ham,"I loved the movie we watched last night, we should go again"
ham,"Let's grab coffee sometime next week, I'm free after noon"
spam,FINAL NOTICE: Your car warranty is about to expire. Call 07781234567 now to renew and save
ham,Reminder: Your dentist appointment is on Tuesday at 3:30pm
ham,"Mom said dinner is ready, come down when you can"
ham,Can you review my code before I push it to production?
spam,"New message waiting! Someone has a crush on you, find out who at bit.ly/free-gift now"
ham,Can you review my code before I push it to production?
ham,"See you at the gym later, same time as usual?"
ham,"The flight got delayed by an hour, landing around 11:15am"
spam,FINAL NOTICE: Your car warranty is about to expire. Call 07781234567 now to renew and save
spam,YOU ARE PRE-APPROVED FOR A $250 LOAN WITH 0% INTEREST! APPLY NOW AT WWW.CLAIM-PRIZE.COM !!!
ham,The meeting has been rescheduled to 2pm on Sunday
ham,Your package was delivered to the front desk this morning
spam,Act now! This exclusive holiday package offer expires in 24 hours. Visit www.unlock-account.co for instant access
spam,URGENT! Your account has been suspended. Verify your details immediately at www.winbig-now.net to avoid closure
ham,Happy anniversary! Wishing you both many more happy years
ham,"I'll pick up the kids from school today, no need to worry"
spam,You are pre-approved for a $250 loan with 0% interest! Apply now at www.winbig-now.net
ham,Can you send me the report before noon today? Thanks!
ham,Can you review my code before I push it to production?
ham,Can we catch up this weekend? It's been a while
ham,Can you review my code before I push it to production?
ham,"Thanks for your help earlier, really appreciate it"
ham,"I'll pick up the kids from school today, no need to worry"
ham,"Let's grab coffee sometime next week, I'm free after 2pm"
ham,"Hey, are we still on for lunch tomorrow at 3:30pm?"
spam,You have an unclaimed insurance payout of $5000. Contact 1900123456 today before it expires
ham,Just wanted to check if you got home safe
ham,"I finished the project, sending you the files now"
spam,"CLICK HERE TO ACTIVATE YOUR FREE GIFT CARD SUBSCRIPTION, OFFER VALID FOR 07781234567 HOURS ONLY"
ham,"I'll pick up the kids from school today, no need to worry"
spam,You've qualified for a government grant of $250. Claim it now by calling 07781234567 !!!
ham,"Great job on the presentation today, the team loved it"
spam,WINNER!! As a valued network customer you have been selected to receive a $100 prize reward
ham,"I finished the project, sending you the files now"
ham,"Let's grab coffee sometime next week, I'm free after noon"
spam,"Hot singles in your area are waiting to chat with you! Click http://free-cash-now.info now, 100% free !!!"
ham,Happy anniversary! Wishing you both many more happy years
ham,"Hey, are we still on for lunch tomorrow at 2pm?"
ham,Can you call me back when you get a chance?
ham,The meeting has been rescheduled to 11:15am on Monday
ham,"The flight got delayed by an hour, landing around noon"
ham,Don't forget to pick up milk on your way home
ham,I updated the spreadsheet with the latest numbers
spam,URGENT! Your account has been suspended. Verify your details immediately at bit.ly/free-gift to avoid closure
spam,Congratulations! Your mobile number has won £5000 in the UK National Lottery. Call 1900123456 now !!!
ham,Can you call me back when you get a chance?
ham,"Hey, are we still on for lunch tomorrow at 9am?"
ham,Reminder: Your dentist appointment is on Saturday at 2pm
ham,"I'm running a bit late, be there in 15 minutes"
ham,I updated the spreadsheet with the latest numbers
ham,"I finished the project, sending you the files now"
ham,The meeting has been rescheduled to noon on Wednesday
ham,"I'm running a bit late, be there in 15 minutes"
ham,"Great job on the presentation today, the team loved it"
ham,I updated the spreadsheet with the latest numbers
ham,Your package was delivered to the front desk this morning
spam,Congratulations! Your mobile number has won £1000 in the UK National Lottery. Call 09061234567 now
ham,Can we catch up this weekend? It's been a while
ham,"I finished the project, sending you the files now"
ham,Are you free to talk on the phone for a few minutes?
ham,"The flight got delayed by an hour, landing around 10am"
ham,Let me know if you need anything else from me for the report
ham,Can you call me back when you get a chance?
ham,"Thanks for dinner last night, it was really nice catching up"
spam,You have an unclaimed insurance payout of $5000. Contact 09061234567 today before it expires !!!
ham,"I'll pick up the kids from school today, no need to worry"
ham,"Great job on the presentation today, the team loved it"
ham,"Mom said dinner is ready, come down when you can"
spam,"Hot singles in your area are waiting to chat with you! Click bit.ly/free-gift now, 100% free"
ham,"Thanks for your help earlier, really appreciate it"
ham,The meeting has been rescheduled to 11:15am on Wednesday
ham,"Mom said dinner is ready, come down when you can"
spam,Hurry! Only a few voucher left in stock at 80% off. Order now at www.unlock-account.co
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 09061234567 immediately to settle"
ham,"Thanks for the birthday wishes, means a lot to me"
ham,"Great job on the presentation today, the team loved it"
spam,You have an unclaimed insurance payout of $250. Contact 1900123456 today before it expires
ham,"Just checking in, how did the interview go?"
ham,Can you review my code before I push it to production?
spam,URGENT! Your account has been suspended. Verify your details immediately at www.winbig-now.net to avoid closure
ham,The meeting has been rescheduled to 11:15am on Tuesday
ham,I updated the spreadsheet with the latest numbers
ham,"The flight got delayed by an hour, landing around noon"
spam,Your package is on hold due to unpaid customs fee of $500. Pay now at bit.ly/free-gift !!!
ham,"Great job on the presentation today, the team loved it"
spam,You have been selected to receive a FREE smart watch! Reply YES to claim your gift now !!!
ham,Just wanted to check if you got home safe
ham,Just wanted to check if you got home safe
ham,"Mom said dinner is ready, come down when you can"
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Can you call me back when you get a chance?
spam,"Get rich quick! Earn $100 per week working from home, no experience needed, click www.unlock-account.co !!!"
spam,Make $500 a day trading crypto with our secret system! Sign up free at www.unlock-account.co
spam,Your Netflix account is on hold. Update your payment info now at http://free-cash-now.info to keep watching !!!
spam,You are pre-approved for a $10000 loan with 0% interest! Apply now at www.claim-prize.com
ham,"The weather looks great this weekend, perfect for a hike"
spam,"Get rich quick! Earn $5000 per week working from home, no experience needed, click http://free-cash-now.info"
ham,Your package was delivered to the front desk this morning
ham,Just wanted to check if you got home safe
ham,"The weather looks great this weekend, perfect for a hike"
ham,"Mom said dinner is ready, come down when you can"
spam,"Claim your FREE gaming laptop now! No purchase necessary, just click www.claim-prize.com and enter your details"
spam,Your Netflix account is on hold. Update your payment info now at www.winbig-now.net to keep watching
ham,Happy anniversary! Wishing you both many more happy years
ham,"Thanks for your help earlier, really appreciate it"
ham,"Hey, are we still on for lunch tomorrow at 2pm?"
spam,Congratulations! Your mobile number has won £100 in the UK National Lottery. Call 09061234567 now
ham,"Mom said dinner is ready, come down when you can"
spam,Your Netflix account is on hold. Update your payment info now at www.claim-prize.com to keep watching
ham,"Hey, are we still on for lunch tomorrow at 11:15am?"
spam,"Get rich quick! Earn $1000 per week working from home, no experience needed, click www.claim-prize.com"
spam,"New message waiting! Someone has a crush on you, find out who at secure-verify-account.com now !!!"
ham,Reminder: Your dentist appointment is on Tuesday at 2pm
ham,Don't forget to pick up milk on your way home
spam,"FREE entry into our $10000 prize draw! Text WIN to 07781234567 now, limited time offer !!!"
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 90210 to claim
ham,"I'll pick up the kids from school today, no need to worry"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"Hey, are we still on for lunch tomorrow at 5pm?"
ham,"I'm running a bit late, be there in 15 minutes"
ham,"I finished the project, sending you the files now"
ham,Let me know if you need anything else from me for the report
spam,LIMITED OFFER: Get 90% discount on MacBook Pro today only! Click www.winbig-now.net before it expires
ham,Just wanted to check if you got home safe
ham,"See you at the gym later, same time as usual?"
ham,"I loved the movie we watched last night, we should go again"
ham,"Thanks for your help earlier, really appreciate it"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,I updated the spreadsheet with the latest numbers
ham,Happy anniversary! Wishing you both many more happy years
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 1900123456 to claim !!!
ham,"Great job on the presentation today, the team loved it"
ham,The meeting has been rescheduled to 5pm on Monday
ham,"See you at the gym later, same time as usual?"
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 07781234567 immediately to settle"
spam,"Get rich quick! Earn $50 per week working from home, no experience needed, click bit.ly/free-gift"
spam,You have 1 new voicemail regarding your loan approval of $100. Call 07781234567 immediately
ham,"See you at the gym later, same time as usual?"
ham,"The flight got delayed by an hour, landing around 5pm"
ham,"See you at the gym later, same time as usual?"
ham,Can you call me back when you get a chance?
ham,Happy birthday! Hope you have a wonderful day
ham,"I finished the project, sending you the files now"
spam,URGENT! Your account has been suspended. Verify your details immediately at www.unlock-account.co to avoid closure
spam,"Double your money in 24 hours! Guaranteed returns, invest now at http://free-cash-now.info !!!"
spam,Your PayPal account has unusual activity. Verify now at www.unlock-account.co or it will be locked
ham,Can we catch up this weekend? It's been a while
spam,WINNER!! As a valued network customer you have been selected to receive a $1000 prize reward !!!
ham,Can you review my code before I push it to production?
ham,Your package was delivered to the front desk this morning
ham,"Great job on the presentation today, the team loved it"
ham,"I'm running a bit late, be there in 15 minutes"
ham,"Let's grab coffee sometime next week, I'm free after 5pm"
spam,Act now! This exclusive designer handbag offer expires in 24 hours. Visit www.winbig-now.net for instant access
spam,URGENT! Your account has been suspended. Verify your details immediately at http://free-cash-now.info to avoid closure !!!
ham,Can we catch up this weekend? It's been a while
ham,"I'm running a bit late, be there in 15 minutes"
spam,"Dear customer, your bank account needs verification. Click secure-verify-account.com or your card will be blocked"
ham,"Mom said dinner is ready, come down when you can"
ham,Just wanted to check if you got home safe
spam,You have been selected to receive a FREE holiday package! Reply YES to claim your gift now
spam,Your package is on hold due to unpaid customs fee of $50. Pay now at bit.ly/free-gift
ham,"Great job on the presentation today, the team loved it"
ham,Can you send me the report before 3:30pm today? Thanks!
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"I finished the project, sending you the files now"
ham,"Hey, are we still on for lunch tomorrow at 6:45pm?"
spam,Your PayPal account has unusual activity. Verify now at www.winbig-now.net or it will be locked
spam,You have an unclaimed insurance payout of $250. Contact 08000112233 today before it expires
ham,"Just checking in, how did the interview go?"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 08000112233 to claim !!!
ham,Can you review my code before I push it to production?
spam,Hurry! Only a few gift card left in stock at 80% off. Order now at www.winbig-now.net !!!
ham,"Great job on the presentation today, the team loved it"
spam,Make $2500 a day trading crypto with our secret system! Sign up free at www.unlock-account.co !!!
spam,Your package is on hold due to unpaid customs fee of $1000. Pay now at www.claim-prize.com
ham,Don't forget to pick up milk on your way home
ham,Just wanted to check if you got home safe
ham,Let me know if you need anything else from me for the report
ham,Just wanted to check if you got home safe
spam,"FREE entry into our $1000 prize draw! Text WIN to 07781234567 now, limited time offer"
ham,"I loved the movie we watched last night, we should go again"
spam,"Click here to activate your FREE TV subscription, offer valid for 09061234567 hours only"
spam,"Claim your FREE holiday package now! No purchase necessary, just click www.claim-prize.com and enter your details"
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Can you send me the report before 5pm today? Thanks!
ham,Can we catch up this weekend? It's been a while
ham,Happy anniversary! Wishing you both many more happy years
ham,Your package was delivered to the front desk this morning
ham,Can you send me the report before 6:45pm today? Thanks!
ham,"I loved the movie we watched last night, we should go again"
spam,FINAL NOTICE: Your car warranty is about to expire. Call 09061234567 now to renew and save
ham,Happy birthday! Hope you have a wonderful day
ham,"See you at the gym later, same time as usual?"
ham,Your package was delivered to the front desk this morning
ham,Your package was delivered to the front desk this morning
spam,"Claim your FREE gaming laptop now! No purchase necessary, just click secure-verify-account.com and enter your details"
ham,"The weather looks great this weekend, perfect for a hike"
spam,Your package is on hold due to unpaid customs fee of $100. Pay now at www.unlock-account.co
spam,Your package is on hold due to unpaid customs fee of $100. Pay now at www.winbig-now.net
ham,Are you free to talk on the phone for a few minutes?
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 07781234567 immediately to settle"
ham,"See you at the gym later, same time as usual?"
spam,YOUR NETFLIX ACCOUNT IS ON HOLD. UPDATE YOUR PAYMENT INFO NOW AT WWW.WINBIG-NOW.NET TO KEEP WATCHING !!!
ham,"I'm running a bit late, be there in 15 minutes"
spam,You have an unclaimed insurance payout of $10000. Contact 07781234567 today before it expires !!!
ham,"Great job on the presentation today, the team loved it"
ham,Don't forget to pick up milk on your way home
ham,"I loved the movie we watched last night, we should go again"
ham,"See you at the gym later, same time as usual?"
ham,"Mom said dinner is ready, come down when you can"
spam,URGENT! Your account has been suspended. Verify your details immediately at secure-verify-account.com to avoid closure !!!
ham,Reminder: Your dentist appointment is on Sunday at 2pm
ham,Don't forget to pick up milk on your way home
ham,"Hey, are we still on for lunch tomorrow at 3:30pm?"
spam,"Double your money in 24 hours! Guaranteed returns, invest now at secure-verify-account.com"
ham,"I loved the movie we watched last night, we should go again"
ham,"I loved the movie we watched last night, we should go again"
ham,"Thanks for the birthday wishes, means a lot to me"
spam,You've qualified for a government grant of $10000. Claim it now by calling 90210 !!!
ham,"I loved the movie we watched last night, we should go again"
ham,"The weather looks great this weekend, perfect for a hike"
ham,"I'm running a bit late, be there in 15 minutes"
ham,"Great job on the presentation today, the team loved it"
spam,Congratulations! Your mobile number has won £500 in the UK National Lottery. Call 07781234567 now
ham,Can we catch up this weekend? It's been a while
ham,"Hey, are we still on for lunch tomorrow at 9am?"
ham,Can you call me back when you get a chance?
ham,"Great job on the presentation today, the team loved it"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"I'll pick up the kids from school today, no need to worry"
spam,URGENT! Your account has been suspended. Verify your details immediately at www.claim-prize.com to avoid closure
spam,Your PayPal account has unusual activity. Verify now at bit.ly/free-gift or it will be locked
spam,Congratulations! Your mobile number has won £100 in the UK National Lottery. Call 1900123456 now
ham,"See you at the gym later, same time as usual?"
spam,Your PayPal account has unusual activity. Verify now at secure-verify-account.com or it will be locked !!!
ham,"Great job on the presentation today, the team loved it"
ham,"I'm running a bit late, be there in 15 minutes"
ham,Your package was delivered to the front desk this morning
spam,You have 1 new voicemail regarding your loan approval of $5000. Call 1900123456 immediately !!!
ham,"I loved the movie we watched last night, we should go again"
spam,"New message waiting! Someone has a crush on you, find out who at http://free-cash-now.info now"
spam,Act now! This exclusive gaming laptop offer expires in 24 hours. Visit http://free-cash-now.info for instant access
ham,Don't forget to pick up milk on your way home
ham,Happy anniversary! Wishing you both many more happy years
ham,Can we catch up this weekend? It's been a while
ham,"Thanks for dinner last night, it was really nice catching up"
spam,Your Amazon order could not be delivered. Confirm your address at www.winbig-now.net to reschedule !!!
ham,Don't forget to pick up milk on your way home
ham,"Thanks for your help earlier, really appreciate it"
ham,"Thanks for the birthday wishes, means a lot to me"
spam,You've qualified for a government grant of $2500. Claim it now by calling 09061234567 !!!
ham,"See you at the gym later, same time as usual?"
spam,"New message waiting! Someone has a crush on you, find out who at http://free-cash-now.info now !!!"
ham,Are you free to talk on the phone for a few minutes?
ham,Happy anniversary! Wishing you both many more happy years
ham,"See you at the gym later, same time as usual?"
ham,Can we catch up this weekend? It's been a while
spam,You've qualified for a government grant of $500. Claim it now by calling 07781234567
spam,FINAL NOTICE: Your car warranty is about to expire. Call 09061234567 now to renew and save
ham,Are you free to talk on the phone for a few minutes?
ham,Don't forget to pick up milk on your way home
ham,Happy anniversary! Wishing you both many more happy years
ham,"Just checking in, how did the interview go?"
ham,"Hey, are we still on for lunch tomorrow at 10am?"
spam,Make $10000 a day trading crypto with our secret system! Sign up free at secure-verify-account.com
ham,Are you free to talk on the phone for a few minutes?
ham,Are you free to talk on the phone for a few minutes?
spam,CONGRATULATIONS! YOUR MOBILE NUMBER HAS WON £500 IN THE UK NATIONAL LOTTERY. CALL 1900123456 NOW !!!
ham,Can you call me back when you get a chance?
ham,"I'll pick up the kids from school today, no need to worry"
ham,"Mom said dinner is ready, come down when you can"
ham,"Let's grab coffee sometime next week, I'm free after 3:30pm"
ham,"I'm running a bit late, be there in 15 minutes"
ham,Happy anniversary! Wishing you both many more happy years
spam,Your package is on hold due to unpaid customs fee of $1000. Pay now at www.claim-prize.com !!!
ham,"I loved the movie we watched last night, we should go again"
ham,Can we catch up this weekend? It's been a while
spam,"Get rich quick! Earn $2500 per week working from home, no experience needed, click http://free-cash-now.info"
ham,"The weather looks great this weekend, perfect for a hike"
ham,Can we catch up this weekend? It's been a while
spam,Text STOP to unsubscribe or reply YES to claim your $50 cash prize instantly
ham,Happy anniversary! Wishing you both many more happy years
spam,Your PayPal account has unusual activity. Verify now at secure-verify-account.com or it will be locked !!!
ham,"See you at the gym later, same time as usual?"
ham,"I'll pick up the kids from school today, no need to worry"
ham,I updated the spreadsheet with the latest numbers
ham,"Great job on the presentation today, the team loved it"
ham,"Thanks for the birthday wishes, means a lot to me"
ham,"Thanks for the birthday wishes, means a lot to me"
spam,URGENT! Your account has been suspended. Verify your details immediately at secure-verify-account.com to avoid closure !!!
ham,"Hey, are we still on for lunch tomorrow at 3:30pm?"
ham,Happy birthday! Hope you have a wonderful day
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"Let's grab coffee sometime next week, I'm free after 2pm"
ham,Don't forget to pick up milk on your way home
spam,YOU HAVE 1 NEW VOICEMAIL REGARDING YOUR LOAN APPROVAL OF $1000. CALL 08000112233 IMMEDIATELY
ham,Can you send me the report before 9am today? Thanks!
ham,"Great job on the presentation today, the team loved it"
ham,"Thanks for your help earlier, really appreciate it"
ham,"Let's grab coffee sometime next week, I'm free after 2pm"
spam,Your package is on hold due to unpaid customs fee of $250. Pay now at secure-verify-account.com
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"See you at the gym later, same time as usual?"
ham,"The weather looks great this weekend, perfect for a hike"
ham,"I loved the movie we watched last night, we should go again"
ham,"Let's grab coffee sometime next week, I'm free after 9am"
ham,"Let's grab coffee sometime next week, I'm free after 3:30pm"
ham,Can we catch up this weekend? It's been a while
ham,"Let's grab coffee sometime next week, I'm free after noon"
ham,"Thanks for dinner last night, it was really nice catching up"
spam,You have 1 new voicemail regarding your loan approval of $50. Call 09061234567 immediately
ham,"Let's grab coffee sometime next week, I'm free after noon"
ham,"I'm running a bit late, be there in 15 minutes"
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 07781234567 to claim
spam,"Click here to activate your FREE gift card subscription, offer valid for 09061234567 hours only"
spam,"URGENT: We tried to contact you today, please call 1900123456 regarding your unclaimed refund of $1000"
ham,"Thanks for your help earlier, really appreciate it"
ham,"I'll pick up the kids from school today, no need to worry"
ham,Let me know if you need anything else from me for the report
spam,Text STOP to unsubscribe or reply YES to claim your $500 cash prize instantly
ham,"I finished the project, sending you the files now"
spam,Act now! This exclusive voucher offer expires in 24 hours. Visit http://free-cash-now.info for instant access
ham,"I'm running a bit late, be there in 15 minutes"
ham,"Thanks for the birthday wishes, means a lot to me"
spam,Your Netflix account is on hold. Update your payment info now at www.unlock-account.co to keep watching
ham,Happy anniversary! Wishing you both many more happy years
ham,"I'll pick up the kids from school today, no need to worry"
ham,"The weather looks great this weekend, perfect for a hike"
ham,Just wanted to check if you got home safe
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Reminder: Your dentist appointment is on Monday at 3:30pm
spam,"Click here to activate your FREE smart watch subscription, offer valid for 1900123456 hours only"
ham,Can you call me back when you get a chance?
ham,Let me know if you need anything else from me for the report
ham,"I loved the movie we watched last night, we should go again"
ham,Are you free to talk on the phone for a few minutes?
ham,Happy birthday! Hope you have a wonderful day
spam,You have 1 new voicemail regarding your loan approval of $50. Call 09061234567 immediately
ham,Your package was delivered to the front desk this morning
ham,Happy birthday! Hope you have a wonderful day
spam,You've qualified for a government grant of $250. Claim it now by calling 07781234567
spam,Text STOP to unsubscribe or reply YES to claim your $500 cash prize instantly
spam,"Double your money in 24 hours! Guaranteed returns, invest now at www.unlock-account.co"
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 90210 to claim !!!
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 90210 immediately to settle"
ham,Happy anniversary! Wishing you both many more happy years
ham,"See you at the gym later, same time as usual?"
ham,"Thanks for your help earlier, really appreciate it"
spam,Your package is on hold due to unpaid customs fee of $50. Pay now at bit.ly/free-gift
spam,Make $50 a day trading crypto with our secret system! Sign up free at www.unlock-account.co
ham,"Let's grab coffee sometime next week, I'm free after 9am"
spam,Congratulations! Your mobile number has won £250 in the UK National Lottery. Call 1900123456 now
spam,Hurry! Only a few cash prize left in stock at 80% off. Order now at www.claim-prize.com !!!
ham,Can you call me back when you get a chance?
ham,The meeting has been rescheduled to 3:30pm on Wednesday
ham,Are you free to talk on the phone for a few minutes?
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 1900123456 immediately to settle"
ham,Can you send me the report before 6:45pm today? Thanks!
ham,"I'm running a bit late, be there in 15 minutes"
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 07781234567 to claim
ham,Happy anniversary! Wishing you both many more happy years
ham,The meeting has been rescheduled to noon on Saturday
spam,You have 1 new voicemail regarding your loan approval of $5000. Call 07781234567 immediately
ham,"Just checking in, how did the interview go?"
ham,"The weather looks great this weekend, perfect for a hike"
ham,"Thanks for the birthday wishes, means a lot to me"
spam,You have been selected to receive a FREE gift card! Reply YES to claim your gift now
ham,"Thanks for the birthday wishes, means a lot to me"
spam,"Get rich quick! Earn $50 per week working from home, no experience needed, click secure-verify-account.com"
spam,You have an unclaimed insurance payout of $5000. Contact 1900123456 today before it expires
ham,"Great job on the presentation today, the team loved it"
ham,Happy birthday! Hope you have a wonderful day
ham,"Let's grab coffee sometime next week, I'm free after 3:30pm"
spam,Your Amazon order could not be delivered. Confirm your address at http://free-cash-now.info to reschedule !!!
ham,"Thanks for the birthday wishes, means a lot to me"
ham,Don't forget to pick up milk on your way home
spam,Your PayPal account has unusual activity. Verify now at bit.ly/free-gift or it will be locked
spam,"FREE ENTRY INTO OUR $5000 PRIZE DRAW! TEXT WIN TO 07781234567 NOW, LIMITED TIME OFFER"
spam,"Get rich quick! Earn $100 per week working from home, no experience needed, click www.winbig-now.net"
spam,FINAL NOTICE: Your car warranty is about to expire. Call 07781234567 now to renew and save !!!
ham,The meeting has been rescheduled to noon on Saturday
ham,"I finished the project, sending you the files now"
ham,"I'm running a bit late, be there in 15 minutes"
ham,The meeting has been rescheduled to 11:15am on Monday
ham,I updated the spreadsheet with the latest numbers
ham,Your package was delivered to the front desk this morning
ham,Let me know if you need anything else from me for the report
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Your package was delivered to the front desk this morning
ham,"I finished the project, sending you the files now"
ham,"Great job on the presentation today, the team loved it"
ham,"Mom said dinner is ready, come down when you can"
ham,Can we catch up this weekend? It's been a while
spam,Congratulations! Your mobile number has won £500 in the UK National Lottery. Call 09061234567 now
spam,Hurry! Only a few gaming laptop left in stock at 80% off. Order now at www.winbig-now.net
spam,"New message waiting! Someone has a crush on you, find out who at secure-verify-account.com now !!!"
spam,YOU HAVE AN UNCLAIMED INSURANCE PAYOUT OF $100. CONTACT 08000112233 TODAY BEFORE IT EXPIRES !!!
ham,Can you review my code before I push it to production?
ham,"I finished the project, sending you the files now"
spam,LIMITED OFFER: Get 90% discount on TV today only! Click www.claim-prize.com before it expires
spam,Your PayPal account has unusual activity. Verify now at www.winbig-now.net or it will be locked
ham,Are you free to talk on the phone for a few minutes?
ham,"The weather looks great this weekend, perfect for a hike"
ham,Can you send me the report before 10am today? Thanks!
ham,I updated the spreadsheet with the latest numbers
spam,Congratulations! Your mobile number has won £5000 in the UK National Lottery. Call 1900123456 now
ham,Can you send me the report before noon today? Thanks!
spam,CONGRATULATIONS! You've been chosen for a FREE cruise to the Bahamas. Call 90210 to claim
ham,Can you send me the report before 9am today? Thanks!
spam,"Dear customer, your bank account needs verification. Click http://free-cash-now.info or your card will be blocked !!!"
spam,Congratulations! You have WON a gift card worth $500. Claim now by clicking www.unlock-account.co !!!
ham,Can we catch up this weekend? It's been a while
ham,"See you at the gym later, same time as usual?"
spam,"Double your money in 24 hours! Guaranteed returns, invest now at www.winbig-now.net !!!"
ham,Your package was delivered to the front desk this morning
spam,"IRS Notice: You owe back taxes. Avoid arrest, call 07781234567 immediately to settle !!!"
ham,"Mom said dinner is ready, come down when you can"
ham,"Let's grab coffee sometime next week, I'm free after 3:30pm"
spam,"Double your money in 24 hours! Guaranteed returns, invest now at bit.ly/free-gift !!!"
ham,"Thanks for the birthday wishes, means a lot to me"
spam,You are pre-approved for a $2500 loan with 0% interest! Apply now at bit.ly/free-gift
ham,"Thanks for the birthday wishes, means a lot to me"
ham,"I'll pick up the kids from school today, no need to worry"
ham,Are you free to talk on the phone for a few minutes?
ham,"Thanks for dinner last night, it was really nice catching up"
ham,Happy birthday! Hope you have a wonderful day
ham,Let me know if you need anything else from me for the report
ham,"I loved the movie we watched last night, we should go again"
ham,The meeting has been rescheduled to 3:30pm on Sunday
ham,Are you free to talk on the phone for a few minutes?
